key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
pailoon_2500_enemy_00_00000,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2500,Pailoon 2500,pailoon_2500,2500,pailoon_2500_enemy_00,2500_enemy_00,2500,2500,,0,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"Out with it, tell the truth. Where did your little brother run off to?","Out with it, tell the truth. Where did your little brother run off to?",gamedata/localizationstring_eng.paloc
pailoon_2500_npc_00_00001,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2500,Pailoon 2500,pailoon_2500,2500,pailoon_2500_npc_00,2500_npc_00,2500,2500,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I know nothing... Ahhh!,I know nothing... Ahhh!,gamedata/localizationstring_eng.paloc
pailoon_2500_npc_00_00002,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2500,Pailoon 2500,pailoon_2500,2500,pailoon_2500_npc_00,2500_npc_00,2500,2500,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Thank you... Ugh...,Thank you... Ugh...,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00000,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,0,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Where'd you think you're going!,Where'd you think you're going!,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00001,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,1,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Here we go! One! Two! Three!,Here we go! One! Two! Three!,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00002,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,2,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Wasn't hard was it?,Wasn't hard was it?,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00003,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,3,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Grab him!,Grab him!,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00004,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,4,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,One more time!,One more time!,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00005,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,5,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Hurry up and check his pocket.,Hurry up and check his pocket.,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00006,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,6,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Should've handed it over sooner.,Should've handed it over sooner.,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_00_00007,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_00,2502_npc_00,2502,2502,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Ugh...,Ugh...,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_00_00008,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_00,2502_npc_00,2502,2502,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"S-spare me, I beg of you!!","S-spare me, I beg of you!!",gamedata/localizationstring_eng.paloc
pailoon_2502_npc_00_00009,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_00,2502_npc_00,2502,2502,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Ah, no! No!","Ah, no! No!",gamedata/localizationstring_eng.paloc
pailoon_2502_npc_00_00010,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_00,2502_npc_00,2502,2502,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Th-thank you... Thank you so much...,Th-thank you... Thank you so much...,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_01_00011,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_01,2502_npc_01,2502,2502,,11,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,You swines!,You swines!,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_01_00012,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_01,2502_npc_01,2502,2502,,12,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Ugh!,Ugh!,gamedata/localizationstring_eng.paloc
pailoon_2504_enemy_00_00000,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_enemy_00,2504_enemy_00,2504,2504,,0,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,How dare you slack off!,How dare you slack off!,gamedata/localizationstring_eng.paloc
pailoon_2504_enemy_00_00001,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_enemy_00,2504_enemy_00,2504,2504,,1,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"If you've neither coin nor land, you'd best work yourself to the bone.","If you've neither coin nor land, you'd best work yourself to the bone.",gamedata/localizationstring_eng.paloc
pailoon_2504_enemy_00_00002,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_enemy_00,2504_enemy_00,2504,2504,,2,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,... Damn it. Pailune is full of lazy bastards.,... Damn it. Pailune is full of lazy bastards.,gamedata/localizationstring_eng.paloc
pailoon_2504_enemy_00_00003,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_enemy_00,2504_enemy_00,2504,2504,,3,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,No wonder they cozy up to Greymanes.,No wonder they cozy up to Greymanes.,gamedata/localizationstring_eng.paloc
pailoon_2504_npc_00_00004,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_npc_00,2504_npc_00,2504,2504,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Shh! Be quiet.,Shh! Be quiet.,gamedata/localizationstring_eng.paloc
pailoon_2504_npc_00_00005,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_npc_00,2504_npc_00,2504,2504,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Th-thank you for saving me!,Th-thank you for saving me!,gamedata/localizationstring_eng.paloc
pailoon_2504_npc_01_00006,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_npc_01,2504_npc_01,2504,2504,,6,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Hey...! Can't you spare me just a little?,Hey...! Can't you spare me just a little?,gamedata/localizationstring_eng.paloc
pailoon_2504_npc_01_00007,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_npc_01,2504_npc_01,2504,2504,,7,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,I-I'm sorry...,I-I'm sorry...,gamedata/localizationstring_eng.paloc
pailoon_2505_enemy_00_00000,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2505,Pailoon 2505,pailoon_2505,2505,pailoon_2505_enemy_00,2505_enemy_00,2505,2505,,0,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"You! This time, fight properly, okay?","You! This time, fight properly, okay?",gamedata/localizationstring_eng.paloc
pailoon_2505_enemy_00_00001,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2505,Pailoon 2505,pailoon_2505,2505,pailoon_2505_enemy_00,2505_enemy_00,2505,2505,,1,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,That's it!,That's it!,gamedata/localizationstring_eng.paloc
