key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
penance_lake_9000_boss_00_00001,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Bow your head!,Bow your head!,gamedata/localizationstring_eng.paloc
penance_lake_9000_boss_00_00002,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,My kingdom shall come!,My kingdom shall come!,gamedata/localizationstring_eng.paloc
penance_lake_9000_boss_00_00003,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Bow your heads...,Bow your heads...,gamedata/localizationstring_eng.paloc
penance_lake_9000_boss_00_00004,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,My millennium reign...,My millennium reign...,gamedata/localizationstring_eng.paloc
penance_lake_9000_boss_00_00005,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,stands before us...,stands before us...,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00006,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,I'll freeze you to the bone!,I'll freeze you to the bone!,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00007,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,How many fools like you do you think I've crushed?,How many fools like you do you think I've crushed?,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00008,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You dare lay a filthy hand on a sovereign such as I?,You dare lay a filthy hand on a sovereign such as I?,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00009,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Your screams will echo through this ice for eternity.,Your screams will echo through this ice for eternity.,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00010,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Struggle and sink deeper into despair!,Struggle and sink deeper into despair!,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00011,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,11,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Feel it! Terror that cuts to the bone!,Feel it! Terror that cuts to the bone!,gamedata/localizationstring_eng.paloc
penance_lake_9000_narration_00000,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_narration,lake_9000_narration,lake_9000,lake,9000,0,narration,,narration,Narration,Narration,Narration,,role,,Run away!,Run away!,gamedata/localizationstring_eng.paloc
