key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
quest_node_kwe_skoghornvillage_0100_npc_00_00035,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,35,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Was it those cunts again?,Was it those cunts again?,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00036,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,36,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Up the mountain?,Up the mountain?,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00037,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,37,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Here, maybe this one can help you.","Here, maybe this one can help you.",gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00038,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,38,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It won't be easy to track them up there.,It won't be easy to track them up there.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00039,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,39,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,There's more to fear in the mountains than bandits.,There's more to fear in the mountains than bandits.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00040,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,40,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Aye. Though, be careful.","Aye. Though, be careful.",gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00041,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,41,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,We have to be strong for him...,We have to be strong for him...,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00042,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,42,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Hey, listen to me.","Hey, listen to me.",gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00043,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,43,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"We need to find our boy, and quickly.","We need to find our boy, and quickly.",gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00044,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,44,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Who's coming with me?,Who's coming with me?,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00045,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,45,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,My dear!,My dear!,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00046,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,46,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"You must help us, we need him to survive.","You must help us, we need him to survive.",gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00047,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,47,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Please... I'm begging you.,Please... I'm begging you.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00048,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,48,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Please...,Please...,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00049,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,49,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00050,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,50,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Oh, a Greymane!","Oh, a Greymane!",gamedata/localizationstring_eng.paloc
