key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
red_barrier_9900_01_npc_00_00000,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Aye. Looks a right bloody mess.,Aye. Looks a right bloody mess.,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00001,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You mean that coup?,You mean that coup?,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00002,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"They're all cut from the same shitrag. Come on, let's be off.","They're all cut from the same shitrag. Come on, let's be off.",gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00003,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Do you reckon... this'll turn into a war?,Do you reckon... this'll turn into a war?,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00005,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Feels like every sod's a traitor these days...,Feels like every sod's a traitor these days...,gamedata/localizationstring_eng.paloc
red_barrier_9900_01_npc_00_00006,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_01,barrier_9900_01,red_barrier_9900_01_npc_00,barrier_9900_01_npc_00,barrier_9900_01,barrier,9900_01,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I hear a few nobles got themselves killed recently.,I hear a few nobles got themselves killed recently.,gamedata/localizationstring_eng.paloc
red_barrier_9900_02_npc_00_00000,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_02,barrier_9900_02,red_barrier_9900_02_npc_00,barrier_9900_02_npc_00,barrier_9900_02,barrier,9900_02,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Spotted some strange metal thing flyin' about. Any idea what it is?,Spotted some strange metal thing flyin' about. Any idea what it is?,gamedata/localizationstring_eng.paloc
red_barrier_9900_02_npc_00_00001,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_02,barrier_9900_02,red_barrier_9900_02_npc_00,barrier_9900_02_npc_00,barrier_9900_02,barrier,9900_02,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Not a clue. Heard it's the work of some Delesyian lord.,Not a clue. Heard it's the work of some Delesyian lord.,gamedata/localizationstring_eng.paloc
red_barrier_9900_03_npc_00_00000,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_03,barrier_9900_03,red_barrier_9900_03_npc_00,barrier_9900_03_npc_00,barrier_9900_03,barrier,9900_03,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Aye. Soldiers've been pouring into Fort Musket from all over.,Aye. Soldiers've been pouring into Fort Musket from all over.,gamedata/localizationstring_eng.paloc
red_barrier_9900_03_npc_00_00002,red,Red,Scene Dialogue,Red,Red,9900,Red 9900,red_barrier_9900_03,barrier_9900_03,red_barrier_9900_03_npc_00,barrier_9900_03_npc_00,barrier_9900_03,barrier,9900_03,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Aye. Back the wrong side, and we won't live to get paid.","Aye. Back the wrong side, and we won't live to get paid.",gamedata/localizationstring_eng.paloc
