key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
redfox_forest_0400_npc_00_00008,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You masterpieces, wrought by divine hands!","You masterpieces, wrought by divine hands!",gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00009,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Starlight dances in your eyes!,Starlight dances in your eyes!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00010,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Your radiant smiles put the sun to shame...!,Your radiant smiles put the sun to shame...!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00011,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,How could my heart ever choose?,How could my heart ever choose?,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00013,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:Kliff,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}?!,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}?!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00015,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You wound me, sir!","You wound me, sir!",gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00016,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Don't misunderstand.,Don't misunderstand.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00017,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I'm but a faithful butterfly, loyal to a single bloom!","I'm but a faithful butterfly, loyal to a single bloom!",gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00018,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00019,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Wait! My sweet rose petals!,Wait! My sweet rose petals!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00021,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:Kliff,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}!,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00022,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Must you always cast a pall over everything?!,Must you always cast a pall over everything?!,gamedata/localizationstring_eng.paloc
