key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
redwindtradingassociation_0200_npc_00_00002,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Of all cursed days, it had to be today!","Of all cursed days, it had to be today!",gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00003,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'm going to be late...,I'm going to be late...,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00004,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I stepped down from the wagon for a moment's rest and ended up twisting my ankle.,I stepped down from the wagon for a moment's rest and ended up twisting my ankle.,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00005,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Even the smallest movement sends pain shooting through my leg.,Even the smallest movement sends pain shooting through my leg.,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00006,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I can't possibly take the reins like this, so I've been stranded here.","I can't possibly take the reins like this, so I've been stranded here.",gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00007,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I've an important trade scheduled today, so this is a real mess.","I've an important trade scheduled today, so this is a real mess.",gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00008,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Do you know how to drive a wagon?,Do you know how to drive a wagon?,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00009,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Would you take the reins and get me to the trading post?,Would you take the reins and get me to the trading post?,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00010,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I'm pleading with you, this trade's too important to lose.","I'm pleading with you, this trade's too important to lose.",gamedata/localizationstring_eng.paloc
redwindtradingassociation_0300_npc_00_00001,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0300,Redwindtradingassociation 0300,redwindtradingassociation_0300,0300,redwindtradingassociation_0300_npc_00,0300_npc_00,0300,0300,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You got us through the desert in one piece!,You got us through the desert in one piece!,gamedata/localizationstring_eng.paloc
