key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
reeddevil_boss_2400_npc_00_00001,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Hmm... He should be around here somewhere.,Hmm... He should be around here somewhere.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00002,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Was the information wrong?,Was the information wrong?,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00003,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He should be nearby.,He should be nearby.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00004,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Hmm, I suppose I'll have to wait.","Hmm, I suppose I'll have to wait.",gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00005,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Has he already left?,Has he already left?,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00006,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I have something to give him.,I have something to give him.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00007,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Greymane, I've gone through great trouble to find you.","Greymane, I've gone through great trouble to find you.",gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00008,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You've driven out that dreadful Devil of the Reed Field,","You've driven out that dreadful Devil of the Reed Field,",gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00009,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,making the route safe for our merchants.,making the route safe for our merchants.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00010,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"After the Count's death, his belongings flooded the market.","After the Count's death, his belongings flooded the market.",gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00011,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"And I realized, I haven't properly thanked you.","And I realized, I haven't properly thanked you.",gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00012,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Despite all the help you've given me.,Despite all the help you've given me.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00013,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Here, a token of my gratitude.","Here, a token of my gratitude.",gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00014,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Consider it a gift. Take it.,Consider it a gift. Take it.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_player_00000,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_player,boss_2400_player,boss_2400,boss,2400,0,player,,player,Player,Player,Player,,role,,What do you want?,What do you want?,gamedata/localizationstring_eng.paloc
reeddevil_boss_2700_enemy_00_00002,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2700,Reeddevil 2700,reeddevil_boss_2700,boss_2700,reeddevil_boss_2700_enemy_00,boss_2700_enemy_00,boss_2700,boss,2700,2,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,This is the end! The Grace bloodline ends today!,This is the end! The Grace bloodline ends today!,gamedata/localizationstring_eng.paloc
reeddevil_boss_2700_player_00000,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2700,Reeddevil 2700,reeddevil_boss_2700,boss_2700,reeddevil_boss_2700_player,boss_2700_player,boss_2700,boss,2700,0,player,,player,Player,Player,Player,,role,,So many bodies... like a war swept through.,So many bodies... like a war swept through.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2700_player_00001,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2700,Reeddevil 2700,reeddevil_boss_2700,boss_2700,reeddevil_boss_2700_player,boss_2700_player,boss_2700,boss,2700,1,player,,player,Player,Player,Player,,role,,I hope Naira and Andrew kept clear of this.,I hope Naira and Andrew kept clear of this.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2720_npc_00_00002,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2720,Reeddevil 2720,reeddevil_boss_2720,boss_2720,reeddevil_boss_2720_npc_00,boss_2720_npc_00,boss_2720,boss,2720,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,In here!,In here!,gamedata/localizationstring_eng.paloc
reeddevil_boss_2720_npc_00_00003,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2720,Reeddevil 2720,reeddevil_boss_2720,boss_2720,reeddevil_boss_2720_npc_00,boss_2720_npc_00,boss_2720,boss,2720,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,H-help...!,H-help...!,gamedata/localizationstring_eng.paloc
