key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
rumsxo_village_2800_02_npc_00_00001,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"An outlander, eh!","An outlander, eh!",gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00002,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Can't say humans coming here has ever been a good thing.,Can't say humans coming here has ever been a good thing.,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00003,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I bet you're curious about those sky stones... just like the scholars?,I bet you're curious about those sky stones... just like the scholars?,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00006,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Yes! The sacred relic passed down in this village for generations.,Yes! The sacred relic passed down in this village for generations.,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00007,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Not that an outsider would understand...,Not that an outsider would understand...,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00008,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It was said to protect the village from harm. And now that it's broken...,It was said to protect the village from harm. And now that it's broken...,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00009,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"we're sick with worry, while the scholars are excited,<br/>babbling about their future research!","we're sick with worry, while the scholars are excited,
babbling about their future research!",gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00010,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"They're not the listening sort, so I keep my mouth shut...","They're not the listening sort, so I keep my mouth shut...",gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00011,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"But with the stone gone, who knows what might come through...","But with the stone gone, who knows what might come through...",gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00012,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Not long ago, these boulders fell from the sky.","Not long ago, these boulders fell from the sky.",gamedata/localizationstring_eng.paloc
