key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
samuel_9000_boss_00_00003,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Another corpse...,Another corpse...,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00004,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00005,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,to lay out on the sand.,to lay out on the sand.,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00007,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00008,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00009,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I got sand in my eyes!,I got sand in my eyes!,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00010,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00011,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,There's nowhere you can hide.,There's nowhere you can hide.,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00012,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"The wind may howl, but my shot stays true.","The wind may howl, but my shot stays true.",gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00013,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You'll meet your dusk to the tune of my shot.,You'll meet your dusk to the tune of my shot.,gamedata/localizationstring_eng.paloc
