key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
senia_village_9000_boss_00_00001,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Well, well.","Well, well.",gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00002,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Look who's crawled in.,Look who's crawled in.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00003,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Dirty... fucking... mongrel.,Dirty... fucking... mongrel.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00004,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Senia's holy bastards send you?,Senia's holy bastards send you?,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00005,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,So quick to send others to their deaths while they cower behind their altar.,So quick to send others to their deaths while they cower behind their altar.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00006,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"""Solumen, save us!"" Hah!","""Solumen, save us!"" Hah!",gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00007,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,They'd make a fine meal.,They'd make a fine meal.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00008,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll carve you up and feed you to my hounds!,I'll carve you up and feed you to my hounds!,gamedata/localizationstring_eng.paloc
senia_village_9000_globalgametrack_00009,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_globalgametrack,village_9000_globalgametrack,village_9000,village,9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Are you afraid?,Are you afraid?,gamedata/localizationstring_eng.paloc
senia_village_9000_globalgametrack_00010,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_globalgametrack,village_9000_globalgametrack,village_9000,village,9000,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You don't have a chance.,You don't have a chance.,gamedata/localizationstring_eng.paloc
senia_village_9000_narration_00000,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_narration,village_9000_narration,village_9000,village,9000,0,narration,,narration,Narration,Narration,Narration,,role,,Looks like Solumen's on my side today!,Looks like Solumen's on my side today!,gamedata/localizationstring_eng.paloc
