key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
shipgrave_sea_0800_npc_00_00000,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,At last. A sagacious soul unfurls the fan.,At last. A sagacious soul unfurls the fan.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00001,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It's all I could leave behind given my grave condition.,It's all I could leave behind given my grave condition.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00002,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Witch_Megu:Maegu,"My name is {Staticinfo:Knowledge:Knowledge_Witch_Megu#Maegu}, a witch of Do arts from the east.","My name is {Staticinfo:Knowledge:Knowledge_Witch_Megu#Maegu}, a witch of Do arts from the east.",gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00003,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"On our way here, our ship was hit by cannon fire, forcing us ashore.","On our way here, our ship was hit by cannon fire, forcing us ashore.",gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00004,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Then... Someone took my sister.,Then... Someone took my sister.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00005,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,All I want is to look for her...,All I want is to look for her...,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00006,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,But my wounds have left me too weak to make use of my powers.,But my wounds have left me too weak to make use of my powers.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00007,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Burn a talisman upon the censer and ring the bells, then the wind will guide you to her.","Burn a talisman upon the censer and ring the bells, then the wind will guide you to her.",gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00008,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You'll find what you need on the shore, by our ship.","You'll find what you need on the shore, by our ship.",gamedata/localizationstring_eng.paloc
shipgrave_sea_1000_02_npc_00002,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,1000,Shipgrave 1000,shipgrave_sea_1000_02,sea_1000_02,shipgrave_sea_1000_02_npc,sea_1000_02_npc,sea_1000_02,sea,1000_02,2,npc,,npc,NPC,NPC,NPC,,role,,Aye. A boulder fell from the sky and smashed right through it.,Aye. A boulder fell from the sky and smashed right through it.,gamedata/localizationstring_eng.paloc
shipgrave_sea_1000_02_npc_00003,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,1000,Shipgrave 1000,shipgrave_sea_1000_02,sea_1000_02,shipgrave_sea_1000_02_npc,sea_1000_02_npc,sea_1000_02,sea,1000_02,3,npc,,npc,NPC,NPC,NPC,,role,,What's the world coming to...,What's the world coming to...,gamedata/localizationstring_eng.paloc
shipgrave_sea_1000_02_npc_00004,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,1000,Shipgrave 1000,shipgrave_sea_1000_02,sea_1000_02,shipgrave_sea_1000_02_npc,sea_1000_02_npc,sea_1000_02,sea,1000_02,4,npc,,npc,NPC,NPC,NPC,,role,,"Word is, the same's happened in Hernand! Boulders falling from the sky!","Word is, the same's happened in Hernand! Boulders falling from the sky!",gamedata/localizationstring_eng.paloc
shipgrave_sea_1000_02_npc_00005,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,1000,Shipgrave 1000,shipgrave_sea_1000_02,sea_1000_02,shipgrave_sea_1000_02_npc,sea_1000_02_npc,sea_1000_02,sea,1000_02,5,npc,,npc,NPC,NPC,NPC,,role,,Solumen can't be pleased with us.,Solumen can't be pleased with us.,gamedata/localizationstring_eng.paloc
shipgrave_sea_1000_02_npc_00006,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,1000,Shipgrave 1000,shipgrave_sea_1000_02,sea_1000_02,shipgrave_sea_1000_02_npc,sea_1000_02_npc,sea_1000_02,sea,1000_02,6,npc,,npc,NPC,NPC,NPC,,role,,And the ghost. Did you hear that one?,And the ghost. Did you hear that one?,gamedata/localizationstring_eng.paloc
