key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
silenthulkingkoo_9000_boss_00_00001,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"You have some nerves, stepping into my domain.","You have some nerves, stepping into my domain.",gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00002,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Die.,Die.,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00003,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00004,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You worthless... insect...,You worthless... insect...,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00005,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You... dare...,You... dare...,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00006,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00007,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,All quake and scatter when my bell tolls!,All quake and scatter when my bell tolls!,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00008,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Let its ring lead you straight to your grave.,Let its ring lead you straight to your grave.,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00009,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Pathetic!,Pathetic!,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00010,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,No one who hears these chimes ever walks away alive.,No one who hears these chimes ever walks away alive.,gamedata/localizationstring_eng.paloc
