key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
silver_armor_boss_0010_npc_00_00001,silver,Silver,Scene Dialogue,Silver,Silver,0010,Silver 0010,silver_armor_boss_0010,armor_boss_0010,silver_armor_boss_0010_npc_00,armor_boss_0010_npc_00,armor_boss_0010,armor,boss_0010,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
silver_armor_boss_0010_npc_00_00002,silver,Silver,Scene Dialogue,Silver,Silver,0010,Silver 0010,silver_armor_boss_0010,armor_boss_0010,silver_armor_boss_0010_npc_00,armor_boss_0010_npc_00,armor_boss_0010,armor,boss_0010,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Is that...? We're being attacked!,Is that...? We're being attacked!,gamedata/localizationstring_eng.paloc
silver_armor_boss_0010_npc_00_00003,silver,Silver,Scene Dialogue,Silver,Silver,0010,Silver 0010,silver_armor_boss_0010,armor_boss_0010,silver_armor_boss_0010_npc_00,armor_boss_0010_npc_00,armor_boss_0010,armor,boss_0010,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
silver_armor_boss_0010_npc_00_00004,silver,Silver,Scene Dialogue,Silver,Silver,0010,Silver 0010,silver_armor_boss_0010,armor_boss_0010,silver_armor_boss_0010_npc_00,armor_boss_0010_npc_00,armor_boss_0010,armor,boss_0010,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
silver_armor_boss_0010_npc_00_00005,silver,Silver,Scene Dialogue,Silver,Silver,0010,Silver 0010,silver_armor_boss_0010,armor_boss_0010,silver_armor_boss_0010_npc_00,armor_boss_0010_npc_00,armor_boss_0010,armor,boss_0010,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Something feels off...,Something feels off...,gamedata/localizationstring_eng.paloc
silver_armor_boss_0010_npc_00_00006,silver,Silver,Scene Dialogue,Silver,Silver,0010,Silver 0010,silver_armor_boss_0010,armor_boss_0010,silver_armor_boss_0010_npc_00,armor_boss_0010_npc_00,armor_boss_0010,armor,boss_0010,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
silver_armor_boss_0010_npc_00_00007,silver,Silver,Scene Dialogue,Silver,Silver,0010,Silver 0010,silver_armor_boss_0010,armor_boss_0010,silver_armor_boss_0010_npc_00,armor_boss_0010_npc_00,armor_boss_0010,armor,boss_0010,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Quickly! Go light the beacon!,Quickly! Go light the beacon!,gamedata/localizationstring_eng.paloc
silver_armor_boss_0100_npc_00_00007,silver,Silver,Scene Dialogue,Silver,Silver,0100,Silver 0100,silver_armor_boss_0100,armor_boss_0100,silver_armor_boss_0100_npc_00,armor_boss_0100_npc_00,armor_boss_0100,armor,boss_0100,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
silver_armor_boss_0100_npc_00_00008,silver,Silver,Scene Dialogue,Silver,Silver,0100,Silver 0100,silver_armor_boss_0100,armor_boss_0100,silver_armor_boss_0100_npc_00,armor_boss_0100_npc_00,armor_boss_0100,armor,boss_0100,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Hey, Kliff.","Hey, Kliff.",gamedata/localizationstring_eng.paloc
silver_armor_boss_0100_npc_00_00009,silver,Silver,Scene Dialogue,Silver,Silver,0100,Silver 0100,silver_armor_boss_0100,armor_boss_0100,silver_armor_boss_0100_npc_00,armor_boss_0100_npc_00,armor_boss_0100,armor,boss_0100,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Faction_GoldleafGuildhouse:Goldleaves,"Aye, the {Staticinfo:Knowledge:Knowledge_Faction_GoldleafGuildhouse#Goldleaves} have us well-supplied.","Aye, the {Staticinfo:Knowledge:Knowledge_Faction_GoldleafGuildhouse#Goldleaves} have us well-supplied.",gamedata/localizationstring_eng.paloc
silver_armor_boss_0100_npc_00_00010,silver,Silver,Scene Dialogue,Silver,Silver,0100,Silver 0100,silver_armor_boss_0100,armor_boss_0100,silver_armor_boss_0100_npc_00,armor_boss_0100_npc_00,armor_boss_0100,armor,boss_0100,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Our comrades are slowly returning...,Our comrades are slowly returning...,gamedata/localizationstring_eng.paloc
