key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
silverwolf_mountain_2900_npc_00_00006,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_00,mountain_2900_npc_00,mountain_2900,mountain,2900,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Oongka. We've gathered some leads.,Oongka. We've gathered some leads.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_00_00008,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_00,mountain_2900_npc_00,mountain_2900,mountain,2900,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,People say they spotted the Jackals prowling around.,People say they spotted the Jackals prowling around.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_00_00009,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_00,mountain_2900_npc_00,mountain_2900,mountain,2900,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_00_00025,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_00,mountain_2900_npc_00,mountain_2900,mountain,2900,25,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,They're likely holed up somewhere close.,They're likely holed up somewhere close.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00013,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,13,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00014,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,14,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,But the strange thing is...,But the strange thing is...,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00015,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,15,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,there's not a single Black Bear to be found.,there's not a single Black Bear to be found.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00016,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,16,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,It seems to me they've stopped working together.,It seems to me they've stopped working together.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00017,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,17,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"That makes sense, seeing as only Jackals remain in the area.","That makes sense, seeing as only Jackals remain in the area.",gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00018,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,18,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Well, if they've really split up, all the better for us. Eh?","Well, if they've really split up, all the better for us. Eh?",gamedata/localizationstring_eng.paloc
