key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
splithorn_boss_0100_npc_00_00052,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,52,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Finally. A chance to test my mettle against a Greymane.,Finally. A chance to test my mettle against a Greymane.,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00053,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,53,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'll judge for myself if the rumors are true.,I'll judge for myself if the rumors are true.,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00054,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,54,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Defeating a Greymane would be a real feather in our caps.,Defeating a Greymane would be a real feather in our caps.,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00055,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,55,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'll test their skills myself.,I'll test their skills myself.,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00056,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,56,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I must face a Greymane myself.,I must face a Greymane myself.,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00060,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,60,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Enough.,Enough.,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00061,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,61,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00062,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,62,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I apologize for my men.,I apologize for my men.,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00063,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,63,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,They may have given you the wrong impression.,They may have given you the wrong impression.,gamedata/localizationstring_eng.paloc
splithorn_boss_0100_npc_00_00064,splithorn,Splithorn,Scene Dialogue,Splithorn,Splithorn,0100,Splithorn 0100,splithorn_boss_0100,boss_0100,splithorn_boss_0100_npc_00,boss_0100_npc_00,boss_0100,boss,0100,64,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I am the knight, Matthias.","I am the knight, Matthias.",gamedata/localizationstring_eng.paloc
