key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
storm_cliff_0110_npc_00000,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,0,npc,,npc,NPC,NPC,NPC,,role,,What? Bloody hell.,What? Bloody hell.,gamedata/localizationstring_eng.paloc
storm_cliff_0110_npc_00001,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,1,npc,,npc,NPC,NPC,NPC,,role,,You think we can set up shop right here and trade?,You think we can set up shop right here and trade?,gamedata/localizationstring_eng.paloc
storm_cliff_0110_npc_00002,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,2,npc,,npc,NPC,NPC,NPC,,role,,You're out of your mind!<br/>Those bloody pirates could just march up here without any warning.,"You're out of your mind!
Those bloody pirates could just march up here without any warning.",gamedata/localizationstring_eng.paloc
storm_cliff_0110_npc_00003,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,3,npc,,npc,NPC,NPC,NPC,,role,,Well... I wouldn't unpack a thing if I were you.,Well... I wouldn't unpack a thing if I were you.,gamedata/localizationstring_eng.paloc
storm_cliff_0110_npc_00004,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,4,npc,,npc,NPC,NPC,NPC,,role,,"Better be ready to bolt at a moments notice, if you ask me.","Better be ready to bolt at a moments notice, if you ask me.",gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00001,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,makes you worthy?,makes you worthy?,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00002,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll pound some sense into you.,I'll pound some sense into you.,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00011,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00012,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Do you think a few easy victories...,Do you think a few easy victories...,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00014,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"So, this is how it ends.","So, this is how it ends.",gamedata/localizationstring_eng.paloc
