key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
sunsetvillage_0200_npc_00_00000,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We're running short on healing herbs...,We're running short on healing herbs...,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00001,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We're short on hands as well. This is bad...,We're short on hands as well. This is bad...,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00002,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,This isn't a place outsiders visit often...,This isn't a place outsiders visit often...,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00003,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"but, like us, you must have come with good intentions.","but, like us, you must have come with good intentions.",gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00004,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Folk here are in desperate need of aid.,Folk here are in desperate need of aid.,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00005,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Those poor souls, forced to live apart with their affliction...","Those poor souls, forced to live apart with their affliction...",gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00006,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"We were already short-staffed, so if we could ask for your assistance...","We were already short-staffed, so if we could ask for your assistance...",gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00007,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We need some satintail root. You should find some nearby.,We need some satintail root. You should find some nearby.,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00001,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Someday... perhaps even plagues will have their cure...,Someday... perhaps even plagues will have their cure...,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00002,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A world without sickness... wouldn't that be paradise?,A world without sickness... wouldn't that be paradise?,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00003,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Ah, I hope I didn't trouble you too much with such a request.","Ah, I hope I didn't trouble you too much with such a request.",gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00004,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"In any case, you've spared us a great burden.","In any case, you've spared us a great burden.",gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00005,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Those who prepare the medicine, and those who need it...","Those who prepare the medicine, and those who need it...",gamedata/localizationstring_eng.paloc
