key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
tarandus_bossencounter_ambush_boss_00_00017,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_ambush,bossencounter_ambush,tarandus_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Not yet... your reckoning will be harsher for the wait.,Not yet... your reckoning will be harsher for the wait.,gamedata/localizationstring_eng.paloc
tarandus_bossencounter_ambush_boss_00_00018,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_ambush,bossencounter_ambush,tarandus_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You show me your back? A coward's answer.,You show me your back? A coward's answer.,gamedata/localizationstring_eng.paloc
tarandus_bossencounter_ambush_boss_00_00019,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_ambush,bossencounter_ambush,tarandus_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Who dares turn their back on righteousness?,Who dares turn their back on righteousness?,gamedata/localizationstring_eng.paloc
tarandus_bossencounter_ambush_boss_00_00020,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_ambush,bossencounter_ambush,tarandus_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Sinner. Confess your crimes before me!,Sinner. Confess your crimes before me!,gamedata/localizationstring_eng.paloc
tarandus_bossencounter_ambush_boss_00_00021,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_ambush,bossencounter_ambush,tarandus_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Blindness to righteousness is the greatest sin of all.,Blindness to righteousness is the greatest sin of all.,gamedata/localizationstring_eng.paloc
tarandus_bossencounter_ambush_boss_00_00022,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_ambush,bossencounter_ambush,tarandus_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,To ignore the truth of sin is a crime beyond measure!,To ignore the truth of sin is a crime beyond measure!,gamedata/localizationstring_eng.paloc
tarandus_bossencounter_ambush_boss_00_00023,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_ambush,bossencounter_ambush,tarandus_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,23,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"You will kneel before righteousness, by choice or by force.","You will kneel before righteousness, by choice or by force.",gamedata/localizationstring_eng.paloc
tarandus_bossencounter_ambush_boss_00_00024,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_ambush,bossencounter_ambush,tarandus_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,24,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I shall deliver judgment without mercy!,I shall deliver judgment without mercy!,gamedata/localizationstring_eng.paloc
tarandus_bossencounter_stand_boss_00_00012,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_stand,bossencounter_stand,tarandus_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Speak now, sinner, and unburden yourself.","Speak now, sinner, and unburden yourself.",gamedata/localizationstring_eng.paloc
tarandus_bossencounter_stand_boss_00_00013,tarandus,Tarandus,Scene Dialogue,Tarandus,Tarandus,,Tarandus,tarandus_bossencounter_stand,bossencounter_stand,tarandus_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Not yet... your reckoning will be harsher for the wait.,Not yet... your reckoning will be harsher for the wait.,gamedata/localizationstring_eng.paloc
