key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
thefaceless_bossencounter_ambush_boss_00_00009,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,The law of the desert falters...,The law of the desert falters...,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00010,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Never return to the desert!,Never return to the desert!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00011,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Out here, the law of the sands rules all!","Out here, the law of the sands rules all!",gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00012,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Obey the law of the desert!,Obey the law of the desert!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00013,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,We are the storm's survivors... and you think you can stand against us?,We are the storm's survivors... and you think you can stand against us?,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00014,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,We took this land by our own strength. Why meddle in what's rightfully ours?,We took this land by our own strength. Why meddle in what's rightfully ours?,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00015,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"If you intend to fight, be prepared to pay the price!","If you intend to fight, be prepared to pay the price!",gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00016,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Here, I am the law! Do not threaten my order!","Here, I am the law! Do not threaten my order!",gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_globalgametrack_00017,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,17,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,The sands will swallow you whole!,The sands will swallow you whole!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_globalgametrack_00018,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,18,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Those who defy desert law will find no mercy!,Those who defy desert law will find no mercy!,gamedata/localizationstring_eng.paloc
