key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
three_brothers_cliff_1600_narration_00011,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,11,narration,,narration,Narration,Narration,Narration,,role,,Seeker of order...,Seeker of order...,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00012,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,12,narration,,narration,Narration,Narration,Narration,,role,,Through the tether of mind I speak to you.,Through the tether of mind I speak to you.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00013,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,13,narration,,narration,Narration,Narration,Narration,,role,,"Come forth to my altar, before my voice is lost to silence.","Come forth to my altar, before my voice is lost to silence.",gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00014,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,14,narration,,narration,Narration,Narration,Narration,,role,,"Long have I awaited this fated moment, shrouded in the illusion of chance.","Long have I awaited this fated moment, shrouded in the illusion of chance.",gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00015,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,15,narration,,narration,Narration,Narration,Narration,,role,,My name is Aeserion.,My name is Aeserion.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00016,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,16,narration,,narration,Narration,Narration,Narration,,role,,"I restored balance to the world, turning folly into wisdom,","I restored balance to the world, turning folly into wisdom,",gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00017,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,17,narration,,narration,Narration,Narration,Narration,,role,,so men proclaimed me the God of Knowledge.,so men proclaimed me the God of Knowledge.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00018,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,18,narration,,narration,Narration,Narration,Narration,,role,,"Now I am but a prisoner, bound in a cage of flesh.","Now I am but a prisoner, bound in a cage of flesh.",gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00019,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,19,narration,,narration,Narration,Narration,Narration,,role,,"Once, I sealed away the Ancients, beings drunk on the Abyss and lust for ruin.","Once, I sealed away the Ancients, beings drunk on the Abyss and lust for ruin.",gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00020,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,20,narration,,narration,Narration,Narration,Narration,,role,,"But they struck back, driving three shackles deep into my body.","But they struck back, driving three shackles deep into my body.",gamedata/localizationstring_eng.paloc
