key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
titan_boss_0700_npc_00_00013,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_00,boss_0700_npc_00,boss_0700,boss,0700,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You're here.,You're here.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_00_00014,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_00,boss_0700_npc_00,boss_0700,boss,0700,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_00_00015,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_00,boss_0700_npc_00,boss_0700,boss,0700,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Strike the shepherd, and the flock will scatter.","Strike the shepherd, and the flock will scatter.",gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_00_00016,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_00,boss_0700_npc_00,boss_0700,boss,0700,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Everything will be alright.,Everything will be alright.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00017,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,17,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,I'm sorry... I let my guard down.,I'm sorry... I let my guard down.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00018,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,18,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,But jumping straight into a fight with them? We're all exhausted.,But jumping straight into a fight with them? We're all exhausted.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00019,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,19,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Fucking idiot. How'd you manage to botch this?,Fucking idiot. How'd you manage to botch this?,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00020,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,20,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,We had the bastard right in front of us and you let him slip away!,We had the bastard right in front of us and you let him slip away!,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00021,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,21,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Let's hunt him down. He couldn't have got far.,Let's hunt him down. He couldn't have got far.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00022,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,22,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Except it fucking shouldn't.,Except it fucking shouldn't.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00023,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,23,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,We went easy taking his hand. Next time it'll be his head.,We went easy taking his hand. Next time it'll be his head.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00024,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,24,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Fuck, we almost had that bastard...","Fuck, we almost had that bastard...",gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00025,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,25,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,Knowledge:Knowledge_Ludvig:Ludvig,"So {StaticInfo:Knowledge:Knowledge_Ludvig#Ludvig}'s still skulking around, and we're just letting him go?","So {StaticInfo:Knowledge:Knowledge_Ludvig#Ludvig}'s still skulking around, and we're just letting him go?",gamedata/localizationstring_eng.paloc
