key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
trade_hunter_0100_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0100,Trade 0100,trade_hunter_0100,hunter_0100,trade_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You're carrying quite a haul of trade goods!,You're carrying quite a haul of trade goods!,gamedata/localizationstring_eng.paloc
trade_hunter_0100_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0100,Trade 0100,trade_hunter_0100,hunter_0100,trade_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Come over here!,Come over here!,gamedata/localizationstring_eng.paloc
trade_hunter_0100_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0100,Trade 0100,trade_hunter_0100,hunter_0100,trade_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Today's the day I strike it rich!,Today's the day I strike it rich!,gamedata/localizationstring_eng.paloc
trade_hunter_0200_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0200,Trade 0200,trade_hunter_0200,hunter_0200,trade_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"So many treasures... Now, meet your end!","So many treasures... Now, meet your end!",gamedata/localizationstring_eng.paloc
trade_hunter_0200_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0200,Trade 0200,trade_hunter_0200,hunter_0200,trade_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Stop right there!,Stop right there!,gamedata/localizationstring_eng.paloc
trade_hunter_0200_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0200,Trade 0200,trade_hunter_0200,hunter_0200,trade_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Accept your fate!,Accept your fate!,gamedata/localizationstring_eng.paloc
trade_hunter_0201_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0201,Trade 0201,trade_hunter_0201,hunter_0201,trade_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Luck's on my side today!,Luck's on my side today!,gamedata/localizationstring_eng.paloc
trade_hunter_0201_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0201,Trade 0201,trade_hunter_0201,hunter_0201,trade_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A whole heap of trade goods!,A whole heap of trade goods!,gamedata/localizationstring_eng.paloc
trade_hunter_0201_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0201,Trade 0201,trade_hunter_0201,hunter_0201,trade_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,At last! I'm finally going to be rich!,At last! I'm finally going to be rich!,gamedata/localizationstring_eng.paloc
trade_hunter_0300_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0300,Trade 0300,trade_hunter_0300,hunter_0300,trade_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Kill them first and take their loot!,Kill them first and take their loot!,gamedata/localizationstring_eng.paloc
trade_hunter_0300_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0300,Trade 0300,trade_hunter_0300,hunter_0300,trade_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Stop right there!,Stop right there!,gamedata/localizationstring_eng.paloc
trade_hunter_0300_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0300,Trade 0300,trade_hunter_0300,hunter_0300,trade_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Today's my lucky day!,Today's my lucky day!,gamedata/localizationstring_eng.paloc
trade_hunter_0400_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0400,Trade 0400,trade_hunter_0400,hunter_0400,trade_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Brought the goods right into my lap.,Brought the goods right into my lap.,gamedata/localizationstring_eng.paloc
trade_hunter_0400_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0400,Trade 0400,trade_hunter_0400,hunter_0400,trade_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Stop right there!,Stop right there!,gamedata/localizationstring_eng.paloc
trade_hunter_0400_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0400,Trade 0400,trade_hunter_0400,hunter_0400,trade_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It's my lucky day!,It's my lucky day!,gamedata/localizationstring_eng.paloc
trade_hunter_0500_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0500,Trade 0500,trade_hunter_0500,hunter_0500,trade_hunter_0500_npc_00,hunter_0500_npc_00,hunter_0500,hunter,0500,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Seems like you've plenty of valuable goods!,Seems like you've plenty of valuable goods!,gamedata/localizationstring_eng.paloc
trade_hunter_0500_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0500,Trade 0500,trade_hunter_0500,hunter_0500,trade_hunter_0500_npc_00,hunter_0500_npc_00,hunter_0500,hunter,0500,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Luck's on my side!,Luck's on my side!,gamedata/localizationstring_eng.paloc
trade_hunter_0500_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0500,Trade 0500,trade_hunter_0500,hunter_0500,trade_hunter_0500_npc_00,hunter_0500_npc_00,hunter_0500,hunter,0500,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'll finally make a real killing!,I'll finally make a real killing!,gamedata/localizationstring_eng.paloc
