key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
trolluniversity_0100_npc_00_00005,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0100,Trolluniversity 0100,trolluniversity_0100,0100,trolluniversity_0100_npc_00,0100_npc_00,0100,0100,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Watch out, mate!","Watch out, mate!",gamedata/localizationstring_eng.paloc
trolluniversity_0100_player_00000,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0100,Trolluniversity 0100,trolluniversity_0100,0100,trolluniversity_0100_player,0100_player,0100,0100,,0,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
trolluniversity_0100_player_00002,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0100,Trolluniversity 0100,trolluniversity_0100,0100,trolluniversity_0100_player,0100_player,0100,0100,,2,player,,player,Player,Player,Player,,role,,Hmm...,Hmm...,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00001,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,1,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"It's has to be here, let's keep looking a big longer.","It's has to be here, let's keep looking a big longer.",gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00003,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,3,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Village? There's nothing here.,Village? There's nothing here.,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00004,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,4,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Make sure to look for any clues!,Make sure to look for any clues!,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00005,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,5,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"We're not lost, are we?","We're not lost, are we?",gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00006,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,6,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Calm yourself. You have a better idea?,Calm yourself. You have a better idea?,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00007,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,7,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,If only we had a way to crush these rocks...,If only we had a way to crush these rocks...,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00008,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,8,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"Hold on, someone's here.","Hold on, someone's here.",gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00009,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,9,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"Hey, you eavesdropping on us?","Hey, you eavesdropping on us?",gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00010,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,10,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Fuck! It's been hours! You sure the information's good?,Fuck! It's been hours! You sure the information's good?,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00011,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,11,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,He gave the orders himself. It has to be around here.,He gave the orders himself. It has to be around here.,gamedata/localizationstring_eng.paloc
trolluniversity_0250_globalgametrack_00048,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0250,Trolluniversity 0250,trolluniversity_0250,0250,trolluniversity_0250_globalgametrack,0250_globalgametrack,0250,0250,,48,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,But bear with me a little longer. I'll show you a breathtaking view of the institute.,But bear with me a little longer. I'll show you a breathtaking view of the institute.,gamedata/localizationstring_eng.paloc
trolluniversity_0250_npc_00_00006,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0250,Trolluniversity 0250,trolluniversity_0250,0250,trolluniversity_0250_npc_00,0250_npc_00,0250,0250,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Is this the realm of the divine... or of inquiry?,Is this the realm of the divine... or of inquiry?,gamedata/localizationstring_eng.paloc
trolluniversity_0250_npc_00_00007,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0250,Trolluniversity 0250,trolluniversity_0250,0250,trolluniversity_0250_npc_00,0250_npc_00,0250,0250,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A scholar's hunger is never sated.,A scholar's hunger is never sated.,gamedata/localizationstring_eng.paloc
trolluniversity_0250_npc_00_00008,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0250,Trolluniversity 0250,trolluniversity_0250,0250,trolluniversity_0250_npc_00,0250_npc_00,0250,0250,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Such is the fate of those who seek knowledge.,Such is the fate of those who seek knowledge.,gamedata/localizationstring_eng.paloc
trolluniversity_0250_npc_00_00009,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0250,Trolluniversity 0250,trolluniversity_0250,0250,trolluniversity_0250_npc_00,0250_npc_00,0250,0250,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Perhaps our curiosity is Solumen's will as well...,Perhaps our curiosity is Solumen's will as well...,gamedata/localizationstring_eng.paloc
trolluniversity_0250_npc_00_00010,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0250,Trolluniversity 0250,trolluniversity_0250,0250,trolluniversity_0250_npc_00,0250_npc_00,0250,0250,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
trolluniversity_0250_npc_00_00011,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0250,Trolluniversity 0250,trolluniversity_0250,0250,trolluniversity_0250_npc_00,0250_npc_00,0250,0250,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I don't believe we've met...,I don't believe we've met...,gamedata/localizationstring_eng.paloc
