key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
vicious_wolf_forest_2100_npc_00_00000,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Just a moment... I have another request, if you're willing.","Just a moment... I have another request, if you're willing.",gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00001,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"As you know, my domain is rather vast.","As you know, my domain is rather vast.",gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00002,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You know all too well how those wretched bandits are running wild...,You know all too well how those wretched bandits are running wild...,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00003,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We've had no word from the southern fort in days.,We've had no word from the southern fort in days.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00004,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'd like you to go and make sure that everything is in order there.,I'd like you to go and make sure that everything is in order there.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00005,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,And it's been difficult to keep watch over everything of late.,And it's been difficult to keep watch over everything of late.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00002,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Those ruffians have gone too far this time.,Those ruffians have gone too far this time.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00004,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Did you see anything odd? I've heard they're making some kind of... medicine?,Did you see anything odd? I've heard they're making some kind of... medicine?,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00005,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Hm... I'll have to look into that.,Hm... I'll have to look into that.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00006,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"More importantly, I'm glad you're back safe. Thank you for all your help.","More importantly, I'm glad you're back safe. Thank you for all your help.",gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00007,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You're back.,You're back.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00008,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Well? Had the bandits taken my fort?,Well? Had the bandits taken my fort?,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_9000_narration_00000,vicious,Vicious,Scene Dialogue,Vicious,Vicious,9000,Vicious 9000,vicious_wolf_forest_9000,wolf_forest_9000,vicious_wolf_forest_9000_narration,wolf_forest_9000_narration,wolf_forest_9000,wolf,forest_9000,0,narration,,narration,Narration,Narration,Narration,,role,,,,gamedata/localizationstring_eng.paloc
