key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
walterbliss_9000_boss_00_00002,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,It'll be a shame if the blood stains...,It'll be a shame if the blood stains...,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00003,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Ah, you're the rat that's been sniffing about!","Ah, you're the rat that's been sniffing about!",gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00004,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Fuck his blood...,Fuck his blood...,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00005,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"fuck his title, fuck his estate...","fuck his title, fuck his estate...",gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00006,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Fuck it all.,Fuck it all.,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00007,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You really know how to get under my skin.,You really know how to get under my skin.,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00008,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Just when fortune starts to favor me, you go and spoil it!","Just when fortune starts to favor me, you go and spoil it!",gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00009,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I will not be scorned by the likes of you.,I will not be scorned by the likes of you.,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00010,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Do you fancy yourself like the nobles?,Do you fancy yourself like the nobles?,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00011,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"They always mocked my low-born, tainted blood.","They always mocked my low-born, tainted blood.",gamedata/localizationstring_eng.paloc
