key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
whitebear_bossencounter_ambush_boss_00_00033,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Face me, if you've the courage!","Face me, if you've the courage!",gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00034,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Running off again, Greymane?","Running off again, Greymane?",gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00035,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,35,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"So eager to die, are you?","So eager to die, are you?",gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00036,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You should've kept your head down!,You should've kept your head down!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00037,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I never understood your sort!,I never understood your sort!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00038,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,38,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Foolish whelps who don't even know their place!,Foolish whelps who don't even know their place!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00039,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,39,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"No wolf could ever defeat a bear, you fool!","No wolf could ever defeat a bear, you fool!",gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00040,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,40,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Fine then, die!","Fine then, die!",gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00021,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You walked right into my claws...,You walked right into my claws...,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00022,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Face me, if you've the courage!","Face me, if you've the courage!",gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00023,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,23,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Running off again, Greymane?","Running off again, Greymane?",gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00024,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,24,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Why are you so desperate for death?,Why are you so desperate for death?,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00025,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll bury you here.,I'll bury you here.,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00026,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You'd have kept your life if you'd kept quiet!,You'd have kept your life if you'd kept quiet!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00027,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You whelps are full of nothing but arrogance!,You whelps are full of nothing but arrogance!,gamedata/localizationstring_eng.paloc
