key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
whitehorn_boss_9000_globalgametrack_00032,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,32,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You lunatic... What's got into you?,You lunatic... What's got into you?,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_globalgametrack_00033,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,33,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You'll only anger the spirit!,You'll only anger the spirit!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_globalgametrack_00034,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,34,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You're gonna get us all killed...!,You're gonna get us all killed...!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_globalgametrack_00035,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,35,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"You have a deathwish, or what?!","You have a deathwish, or what?!",gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_globalgametrack_00036,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,36,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"Just die, won't you!","Just die, won't you!",gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00009,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,How the hell did you miss him?,How the hell did you miss him?,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00010,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Are your eyes just for show?,Are your eyes just for show?,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00011,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You let a kid slip away?,You let a kid slip away?,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00012,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Maybe we should offer you up instead.,Maybe we should offer you up instead.,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00013,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What's this now?,What's this now?,gamedata/localizationstring_eng.paloc
