key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
witch_forest_9000_boss_00_00001,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,Knowledge:Knowledge_CountGrace:Name:Grace,"Ah... that {Staticinfo:Knowledge:Knowledge_CountGrace:Name#Grace} rabble send you, did they?","Ah... that {Staticinfo:Knowledge:Knowledge_CountGrace:Name#Grace} rabble send you, did they?",gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00002,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,N-no... not like this...,N-no... not like this...,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00003,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Ain't even had the chance to flaunt my fortune!,Ain't even had the chance to flaunt my fortune!,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00004,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00005,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Always strutting about, calling themselves noble... nothing but swines!","Always strutting about, calling themselves noble... nothing but swines!",gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00006,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"I'll strip them bare, nick every last thing while they're still blinking!","I'll strip them bare, nick every last thing while they're still blinking!",gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00007,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Once we've slit the throats of the whole bloody lot,<br/>they'll never dare look our way again!","Once we've slit the throats of the whole bloody lot,
they'll never dare look our way again!",gamedata/localizationstring_eng.paloc
witch_forest_9000_globalgametrack_00008,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_globalgametrack,forest_9000_globalgametrack,forest_9000,forest,9000,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Coin. That's the only true power there is!,Coin. That's the only true power there is!,gamedata/localizationstring_eng.paloc
witch_forest_9000_globalgametrack_00009,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_globalgametrack,forest_9000_globalgametrack,forest_9000,forest,9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Those thick-headed nobles need wiping out!,Those thick-headed nobles need wiping out!,gamedata/localizationstring_eng.paloc
witch_forest_9000_globalgametrack_00010,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_globalgametrack,forest_9000_globalgametrack,forest_9000,forest,9000,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Think you can bring me down?,Think you can bring me down?,gamedata/localizationstring_eng.paloc
witch_forest_9000_narration_00000,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_narration,forest_9000_narration,forest_9000,forest,9000,0,narration,,narration,Narration,Narration,Narration,,role,,"Getting a bit shaky now it's time to swing, eh?","Getting a bit shaky now it's time to swing, eh?",gamedata/localizationstring_eng.paloc
