key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
wolfmolar_mountain_0400_npc_00_00001,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I pray he returns soon...,I pray he returns soon...,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00002,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I should've told him not to go...,I should've told him not to go...,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00003,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I hope he's safe and sound...,I hope he's safe and sound...,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00004,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,My husband serves in the Hernandian Guard.,My husband serves in the Hernandian Guard.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00005,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He was dispatched to the north gate a few days back.,He was dispatched to the north gate a few days back.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00006,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,But I've received no word from him since.,But I've received no word from him since.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00007,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I heard that lately, those sent there hardly ever make it back.","I heard that lately, those sent there hardly ever make it back.",gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00008,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I spend every night tossing and turning with worry.,I spend every night tossing and turning with worry.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00009,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"If you're headed north, could you find him and give him this letter?","If you're headed north, could you find him and give him this letter?",gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0440_npc_00_00001,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0440,Wolfmolar 0440,wolfmolar_mountain_0440,mountain_0440,wolfmolar_mountain_0440_npc_00,mountain_0440_npc_00,mountain_0440,mountain,0440,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Ugh...,Ugh...,gamedata/localizationstring_eng.paloc
