source,item_id,loc_key,internal_name,variant_base_name,variant_level,top_category,category,subcategory,subsubcategory,raw_type,classification_source,classification_confidence,pac_files,prefab_hashes
iteminfo,1001258,4300370364858480,Catfish_Helm,Catfish_Helm,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0001_00_sir_catfish_hel_00_0002_i.pac,4094678114
iteminfo,950042,4080399319826544,Fish_BackPack_I,Fish_BackPack_I,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_phm_14_bag_0003.pac;cd_phm_00_bag_belt_0003.pac,3121689513;1668828137
iteminfo,950045,4080412204728432,Fish_BackPack_II,Fish_BackPack_II,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_ptm_00_bag_0003.pac;cd_ptm_00_bag_belt_0003.pac,703184669;2538052745
iteminfo,11001,47248935223408,FishingRod,FishingRod,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_t0000_fishingrod_0001.pac,1505396955
iteminfo,1000639,4297711780102256,FishingRod_II,FishingRod_II,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_t0000_fishingrod_0001.pac,4153164132
iteminfo,1000640,4297716075069552,FishingRod_III,FishingRod_III,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_t0000_fishingrod_0002.pac,680174515
iteminfo,29802,127998615355504,Food_BaliOgluChub,Food_BaliOgluChub,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_minnow_00_0002.pac,1938279896
iteminfo,29816,128058744897648,Food_Bass_I,Food_Bass_I,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_bass_00_0001.pac,4029738434
iteminfo,29817,128063039864944,Food_Bass_II,Food_Bass_II,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_bass_00_0003.pac,1998674713
iteminfo,1002110,4304029676994672,Food_Benjari,Food_Benjari,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_benjari_00_0001.pac,722443663
iteminfo,29805,128011500257392,Food_Beyaz,Food_Beyaz,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_minnow_00_0005.pac,275719739
iteminfo,29801,127994320388208,Food_Blackbrow_Bleak,Food_Blackbrow_Bleak,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_minnow_00_0001.pac,836846484
iteminfo,29606,127156801765488,Food_BlackSeaBream,Food_BlackSeaBream,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_seabream_00_0001.pac,542759211
iteminfo,29813,128045859995760,Food_Burbot,Food_Burbot,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_burbot_00_0001.pac,4108270313
iteminfo,29808,128024385159280,Food_Carp,Food_Carp,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_carp_00_0001.pac,1959841858
iteminfo,29811,128037270061168,Food_Catfish,Food_Catfish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_catfish_00_0001.pac,136635534
iteminfo,29508,126735894970480,Food_Coelacanth,Food_Coelacanth,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_coelacanth_00_0001.pac,224334843
iteminfo,29821,128080219734128,Food_Crayfish,Food_Crayfish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_lobster_00_0001.pac,1149262354
